ID,Kurs,o/i,ER,SIMinGod,IRMinGod,OSMinGod,OTMinGod,OGMinGod,OFMinGod,OEMinGod,Tagovi
162,Mrežna administracija i programiranje,o,,,,3,3,,3,,
163,Osnovi govorne komunikacije,i,,,,3,3,,3,,
164,"Audio sistemi	",i,,,,3,3,,3,3,
165,Video tehnologije i sistemi,i,,,,3,3,,3,,
166,Usmerene radio veze,i,,,,3,3,,3,,
167,Slučajni procesi u telekomunikacijama,i,,,,3,3,,3,,
168,Optoelektronske telekomunikacione komponente,i,,,,3,3,,3,,
169,Softverski alati za projektovanje antena,i,,,,3,3,,3,,
170,Mikrotalasna pasivna kola,i,,,,3,3,,3,3,
171,Optičke i bežične mreže,o,,,,3,4,,3,,
172,Radio sistemi,o,,,,3,4,,3,,
173,Komutacioni sistemi,o,,,,3,4,,3,,
174,Razvoj mobilnih servisa,i,,,,3,4,,3,,
175,IoT mreže,i,,,,3,4,,3,,
176,Obrada signala 2,i,,,,3,4,,3,,
177,Algoritmi za dinamičku optimizaciju,i,,,,3,4,,3,,
178,Mikrotalasna merenja,i,,,,3,4,,3,,
179,Mikrotalasna elektronika,i,,,,3,4,,3,3,
180,Mrežna bezbednost,o,,,,3,4,,3,,
181,Javni mobilni sistemi,i,,,,3,4,,3,,
182,Programiranje komunikacionog hardvera,i,,,,3,4,,3,,
183,Arhitektura Interneta,i,,,,3,4,,3,,
184,"Principi pozicioniranja u radio sistemima	",i,,,,3,4,,3,,
185,Modeliranje i simulacija u telekomunikacijama,i,,,,3,4,,3,,
186,"Programiranje multiprocesorskih platformi za inženjerske aplikacije	",i,,,,3,4,,3,,
187,Elektromagnetska kompatibilnost,i,,,,3,4,,3,3,
188,Mehanika,o,,,,3,,2,3,,
189,Električna merenja 1,o,,,,3,,2,3,,
190,Elektroenergetske instalacije niskog napona,o,,,,3,,2,3,,
191,Primenjena fizika u elektroenergetici,i,,,,3,,2,3,,
192,Prenos toplote,i,,,,3,,2,3,,
193,Praktikum iz računarske analize trofaznih kola,i,,,,3,,2,3,,
194,Praktikum iz softverskih alata u elektroenergetici,i,,,,3,,2,3,,
195,Obrtne mašine za naizmeničnu struju,o,,,,3,,3,3,,
196,Energetski transformatori,o,,,,3,,3,3,,
197,Elementi elektroenergetskih sistema,o,,,,3,,3,3,,
198,Sistemi automatskog upravljanja,o,,,,3,,3,3,,
199,Tehnika visokog napona 1,o,,,,3,,3,3,,
200,Energetski pretvarači 1,o,,,,3,,3,3,,
201,Razvodna postrojenja,o,,,,3,,4,3,,
202,Elektromotorni pogoni,o,,,,3,,4,3,,
203,Relejna zaštita ,o,,,,3,,4,3,,
204,Analiza elektroenergetskih sistema 2,i,,,,3,,3,3,,
205,Tehnika visokog napona 2,i,,,,3,,3,3,,
206,Električna merenja 2,i,,,,3,,3,3,,
207,Električna merenja neelektričnih veličina,i,,,,3,,3,3,,
208,Kvalitet električne energije,i,,,,3,,3,3,,
209,Obnovljivi izvori energije,i,,,,3,,3,3,,
210,Elektrane,i,,,,3,,3,3,,
211,Tržište električne energije i deregulacija,i,,,,3,,3,3,,
212,Projektovanje pomoću računara u elektronergetici,i,,,,3,,3,3,,
213,Opšta energetika,i,,,,3,,3,3,,
214,Visokonaponska oprema,i,,,,3,,3,3,,
215,Električno osvetljenje,i,,,,3,,3,3,,
216,Električne instalacije niskog napona 2,i,,,,3,,3,3,,
217,Višemotorni pogoni,i,,,,3,,3,3,,
218,Regulacija elektromotornih pogona,i,,,,3,,3,3,,
219,Energetski pretvarači 2,i,,,,3,,3,3,,
220,Upravljanje energetskim pretvaračima,i,,,,3,,3,3,,
221,Digitalno upravljanje pretvaračima i pogonima,i,,,,3,,3,3,3,
222,Električna vozila,i,,,,3,,3,3,,
223,Zagrevanje i zaštita električnih mašina,i,,,,3,,3,3,,
224,Ispitivanje električnih mašina,i,,,,3,,3,3,,
225,Električne mašine za jednosmernu struju,i,,,,3,,3,3,3,
226,Specijalne električne instalacije,i,,,,3,,3,3,,
227,Energetski efikasni elektrotermički procesi,i,,,,3,,3,3,,
228,Softverski alati u elektroenergetici,i,,,,3,,3,3,,
229,Opšti inženjering,i,,,,3,,3,3,,
230,Analiza električnih mašina metodom konačnih elemenata,i,,,,3,,3,3,,
231,Obrtne mašine za naizmeničnu struju 2,i,,,,3,,3,3,,
232,Materijali u elektroenergetici,i,,,,3,,3,3,,
233,Praktikum iz elemenata elektroenergetskih sistema,i,,,,3,,4,3,,
234,Praktikum iz analize elektroenergetskih sistema,i,,,,3,,4,3,,
235,Praktikum - Laboratorijske vežbe iz elektroenergetskih sistema,i,,,,3,,4,3,,
236,Praktikum iz elektromotornih pogona,i,,,,3,,4,3,,
237,Praktikum iz regulacije elektromotornih pogona,i,,,,3,,4,3,,
238,Distributivne i industrijske mreže,i,,,,3,,4,3,,
